dataset,run,AUC_Original,AUC_k2,AUC_k4,AUC_k5
Friday-WorkingHours-Morning.npz,4,0.5748026566564396,0.5664447586846673,0.535511386343415,0.5092656617753116
Friday-WorkingHours-Morning.npz,6,0.5518154170357377,0.5291037139320659,0.49475229089962736,0.5438115719940411
Friday-WorkingHours-Morning.npz,3,0.5736356124751828,0.5555161860004942,0.5382915305242463,0.5504442207645112
Friday-WorkingHours-Morning.npz,5,0.5718296031504192,0.5276672577023175,0.5312217510065664,0.5512624392690947
Friday-WorkingHours-Morning.npz,1,0.5626172590907815,0.5806835776932162,0.6135183372291482,0.5418480133055363
Friday-WorkingHours-Morning.npz,0,0.49943956606619044,0.5973545639956546,0.5305465367573761,0.4823378021606027
Friday-WorkingHours-Morning.npz,7,0.49758958916430135,0.6005470962322178,0.5724618196757273,0.5578597159717654
Friday-WorkingHours-Morning.npz,9,0.5369190361831448,0.4786448485180973,0.5798926038593509,0.5395407176432974
Friday-WorkingHours-Morning.npz,2,0.5734660764786397,0.5719165576902256,0.5650702963889268,0.5790707695912198
Friday-WorkingHours-Morning.npz,8,0.5020190864858411,0.5451158914362905,0.5513433177657674,0.5213219666282135
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.929971344895487,0.9211299244463235,0.9238386250170383,0.9128178456382403
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9260128339598028,0.9348312479255662,0.9298995819943368,0.933303578923212
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.6102735972634927,0.6225951114957151,0.6479160154926771,0.6199684897247335
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.6016185921615617,0.6200418985118813,0.6541327647077498,0.6402258470498532
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.6112153639532116,0.6491613792702422,0.6060030182289442,0.628638469782854
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.5955070917552291,0.6239428098227203,0.6539698757502752,0.616476297484971
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.920707336738678,0.9250331813172723,0.9273159250300529,0.9249327806386677
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9235911368629708,0.9209984313236257,0.9201493091894248,0.918601040239591
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.919111129593307,0.9197247481223244,0.9190024985618541,0.9208949021483241
Thursday-WorkingHours-Afternoon-Infilteration.npz,5,0.9113959198242343,0.9155903194108492,0.9214954772526524,0.9237217155020188
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9180881111734885,0.9275443534196298,0.9222467977670428,0.9198697178461772
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9200738883536753,0.905409517329754,0.935205945568393,0.9201431965881867
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9137593787517895,0.9230088033009202,0.9323765812866227,0.9162487957694254
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9230140976799454,0.9177887381049743,0.9247943566925187,0.9242317085942982
Thursday-WorkingHours-Morning-WebAttacks.npz,4,0.6001696107095061,0.6625293335131255,0.661954591667133,0.6292412577948595
Thursday-WorkingHours-Morning-WebAttacks.npz,5,0.6263901848728641,0.6240120020025883,0.6420844312604099,0.626135768808605
Thursday-WorkingHours-Morning-WebAttacks.npz,6,0.6579379418505309,0.5946958503347702,0.6200132877677914,0.6441672416089788
Thursday-WorkingHours-Morning-WebAttacks.npz,7,0.6501001171485872,0.648726768703108,0.6021783576876497,0.6335055214644949
Thursday-WorkingHours-Morning-WebAttacks.npz,8,0.6212297803316708,0.5602320584996711,0.5651103553765342,0.6177320623180736
Thursday-WorkingHours-Morning-WebAttacks.npz,9,0.6455091332368259,0.5760644505968,0.6046927266088211,0.605086264802719
backdoor.npz,0,0.6416956721468903,0.5914888456442149,0.5914888456442149,0.5914888456442149
backdoor.npz,1,0.5969298397484729,0.5874214762900687,0.5874214762900687,0.5874214762900687
backdoor.npz,2,0.6673203714732892,0.6996636910945212,0.6996636910945212,0.6996636910945212
backdoor.npz,3,0.5564455047853849,0.6396093920968434,0.6396093920968434,0.6396093920968434
Tuesday-WorkingHours.npz,0,0.6359610870006859,0.5998688153879543,0.5988984767110602,0.584607188308417
Tuesday-WorkingHours.npz,1,0.6302169132444534,0.6145853879093737,0.6003642286415223,0.6083901289954751
Tuesday-WorkingHours.npz,4,0.6319258993366793,0.5870863931757772,0.6020292897163464,0.6082575215221795
Tuesday-WorkingHours.npz,3,0.6164542987212906,0.582801870887812,0.5776686385884732,0.604176977698805
Tuesday-WorkingHours.npz,2,0.6218688594045614,0.5776715766535052,0.5862055420244098,0.6021819324243737
Tuesday-WorkingHours.npz,5,0.6441058009112164,0.5972794098289715,0.6077734716696515,0.6291399003736826
backdoor.npz,5,0.6380098685577362,0.6802525704418806,0.6802525704418806,0.6802525704418806
backdoor.npz,4,0.6077241997811604,0.673543915659035,0.673543915659035,0.673543915659035
campaign.npz,0,0.6985322590650747,0.7174609270331318,0.7403360967438193,0.7397351746687398
campaign.npz,1,0.7180330490040494,0.7211715674804604,0.7309617011686096,0.7449394401740932
Tuesday-WorkingHours.npz,6,0.669449617210844,0.596261245499115,0.6121031604969472,0.5774509957710985
Tuesday-WorkingHours.npz,7,0.6352533890550033,0.588571729418333,0.5913239742581875,0.5919176057560673
campaign.npz,2,0.7023548596224899,0.7544612800172092,0.735720552778019,0.7424603402988229
campaign.npz,3,0.7129220300275877,0.7259749902584415,0.7187545287633079,0.7175902503509791
campaign.npz,4,0.702485819309892,0.7362954580513863,0.7443646970634744,0.7403347876481754
campaign.npz,5,0.710254744705121,0.7499774357906277,0.7242926696776653,0.7313289142903239
campaign.npz,6,0.7209174643501414,0.7436291474744596,0.7445466259769864,0.7395164200692146
campaign.npz,7,0.7167745274990281,0.7338836557168088,0.7420808529312419,0.724225740688674
backdoor.npz,6,0.592345482624413,0.6565514319219564,0.6565514319219564,0.6565514319219564
backdoor.npz,7,0.6572018887611554,0.6486503898945968,0.6486503898945968,0.6486503898945968
backdoor.npz,8,0.5904809784992404,0.5731899864725736,0.5731899864725736,0.5731899864725736
campaign.npz,8,0.6979952173193118,0.755196776534779,0.7319593263983499,0.7286023304732935
backdoor.npz,9,0.6381223816581024,0.5977781709811307,0.5977781709811307,0.5977781709811307
campaign.npz,9,0.7031402816277508,0.7297326726449488,0.7263041482056664,0.7554175773333509
Tuesday-WorkingHours.npz,8,0.6088509764484236,0.6096746657320353,0.6146437252206154,0.5955519591615016
Tuesday-WorkingHours.npz,9,0.6240253486173585,0.5815527955238777,0.587809456617745,0.6103120398206293
celeba.npz,0,0.7863876758039847,0.8212828095196366,0.816569400919875,0.8134502564323332
celeba.npz,1,0.792286719802848,0.8240100857478296,0.8111944071788804,0.8036139132826926
celeba.npz,2,0.7884048383620661,0.8263085121171702,0.8088757602190264,0.8295046113340107
celeba.npz,3,0.7969599354053322,0.8443022109238862,0.8197212379253498,0.8251420074099249
celeba.npz,4,0.7899256572963927,0.8235070117361398,0.8281207537398427,0.8192946306037742
celeba.npz,6,0.793679628053156,0.819381571536455,0.8278148919763741,0.8163302567224694
celeba.npz,5,0.7969031723950593,0.8250473600109403,0.8292849587220567,0.8216479655455307
celeba.npz,7,0.7931845025840891,0.8320545339004588,0.8241152540279377,0.8269703643196633
celeba.npz,9,0.7956578235417409,0.821541286509312,0.8112811659991008,0.8317219054918858
celeba.npz,8,0.798674770181071,0.8342152088502783,0.8217770954946795,0.8221672592258182
census.npz,0,0.6653838483620995,0.6946466197071582,0.6884176904874001,0.7034107127676996
census.npz,1,0.662598616378199,0.7066896045005895,0.6954965052161459,0.6984292952150594
cover.npz,0,0.8744224903070066,0.8821797043713343,0.8543268395791548,0.8689977486760379
