dataset,run,AUC_Original,AUC_Adaptive
Friday-WorkingHours-Morning.npz,6,0.5518154170357377,0.48446279635157197
Friday-WorkingHours-Morning.npz,4,0.5748026566564396,0.5473396425143007
Friday-WorkingHours-Morning.npz,2,0.5734660764786397,0.5224046134000595
Friday-WorkingHours-Morning.npz,1,0.5626172590907815,0.5867603364470133
Friday-WorkingHours-Morning.npz,8,0.5020190864858411,0.5602367980227112
Friday-WorkingHours-Morning.npz,3,0.5736356124751828,0.5439657261988557
Friday-WorkingHours-Morning.npz,7,0.49758958916430135,0.5582372000719429
Friday-WorkingHours-Morning.npz,0,0.49943956606619044,0.5431643086193868
Friday-WorkingHours-Morning.npz,5,0.5718296031504192,0.5656100472943487
Friday-WorkingHours-Morning.npz,9,0.5369190361831448,0.5465184714051832
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.929971344895487,0.9184066883986487
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9260128339598028,0.9180868597748099
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.6102735972634927,0.6283330057689516
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.6016185921615617,0.632660689012176
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.6112153639532116,0.6627429090357257
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.5955070917552291,0.5706600896866368
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.920707336738678,0.926139321487786
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9235911368629708,0.9149625504506191
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9137593787517895,0.9038535955956928
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.919111129593307,0.9237414490965672
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9230140976799454,0.9248138015027566
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9200738883536753,0.9277836593515676
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9180881111734885,0.9243665708672848
